Unique ID,Type,Text,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Label 10,Label 11,Label 12
12555,Grant,"Centers of Biomedical Research Excellence (COBRE) Phase III - Transitional Centers     <p><strong>Funding Opportunity Description</strong></p>    <p><a name=""_Toc258873267""></a>The Institutional Development Award (IDeA) Program endeavors to stimulate research at institutions in states that have not traditionally received significant levels of research funding from the NIH. Created through congressional mandate, the IDeA Program broadens the geographic distribution of NIH funding for competitive biomedical and behavioral research by enhancing the research capabilities of institutions in eligible states. The IDeA Program aims to achieve this goal through two major initiatives: (1) the IDeA Networks of Biomedical Research Excellence (INBRE), and (2) the Centers of Biomedical Research Excellence (COBRE).</p>    <p>The COBRE initiative seeks to develop unique, innovative, multidisciplinary, and collaborative state-of-the-art biomedical and behavioral research centers focused on a scientific theme that is nascent or only minimally developed at applicant institutions. This is accomplished by nurturing and expanding a critical mass of competitive biomedical research investigators through intensive career advising and development for emerging research faculty and aggressive recruitment of seasoned investigators, and by enhancing the research environment and infrastructure through the establishment of critical core resources.</p>    <p>COBRE support consists of three sequential five-year phases.&nbsp;<em>Phase I</em>&nbsp;focuses on the development of requisite research resources and infrastructure, and the provision of formal research career advising and guidance, as well as research project funding to junior investigators to facilitate their acquisition of preliminary data and successful competition for independent research grant support.&nbsp;<em>Phase II</em>&nbsp;is intended to further strengthen the center through the support and enhancement of the growing research infrastructure and continuing the development and expansion of a critical mass of investigators with shared scientific interests. After ten years of COBRE support, the centers and their aligned investigators are expected to be able to compete successfully for other sources of research funding, including individual and/or program project or center grants from other NIH Institutes and Centers or other Federal and non-Federal entities.</p>    <p>COBRE&nbsp;<em>Phase III</em>, the focus of this funding opportunity announcement, primarily provides support for scientific and technical cores to become independent service research facilities in the institution. It has the following objectives:</p>    <ol>    <ul>    <li>To facilitate the transition of research core resources developed during phases I and II into sustainable state-of-the-art core facilities capable of supporting the conduct of high-caliber biomedical research</li>    <li>To sustain the research environment developed in the first two phases by providing support for pilot research projects and career guidance and enhancement activities</li>    </ul>    </ol>",3.b.2 - Total net official development assistance to medical research and basic health sector,3.c.1 - Health worker density and distribution,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14108,Grant,"Research on Regenerative Medicine <h2><strong>Introduction</strong></h2>    <p>Supports translation of fundamental discoveries toward benefits to human health.</p>    <p>The translation of the burgeoning knowledge in regenerative medicine into new treatment strategies is a key objective of the MRC&rsquo;s strategic plan. The Biomedical Catalyst: Regenerative Medicine Research Committee (RMRC) provides support for high quality proposals that may underpin or progress the development of &nbsp;regenerative medicine therapies to improve human health. The RMRC:</p>    <ul>    <li>Supports confidence in concept studies that if successful will promote the translation of fundamental discoveries toward benefits to human health, thereby accelerating the transition from discovery research to mature translational development projects</li>    <li>Funds preliminary work or feasibility studies to establish the viability of an approach, through addressing focussed research questions needed to unlock progress in pre-clinical development and/or early clinical testing of novel regenerative medicine therapies</li>    <li>Forms part of the MRC&rsquo;s Translational Research Strategy and forms part of the Biomedical Catalyst funding stream, operating in conjunction with the Developmental Pathway Funding Scheme</li>    </ul>    <h2><strong>Background</strong></h2>    <p>The translation of the burgeoning knowledge in regenerative medicine into new treatment strategies is a key objective of the MRC&rsquo;s strategic plan.</p>    <div>    <p>The Biomedical Catalyst: Regenerative Medicine Research Committee (RMRC) will provide support for high quality proposals aiming to provide sufficient preliminary data to establish the viability of further progressing a regenerative medicine approach before seeking more substantive funding through the Developmental Pathway Funding Scheme. It is intended to de-risk and/or accelerate the transition from discovery research through to mature translational development projects.</p>    <p>&nbsp;</p>    <h2><strong>Who can apply?</strong></h2>    <div>    <ul>    <li>Those eligible for standard MRC research grants as described in the guidance&nbsp;for applicants and the Research Councils UK website</li>    <li>MRC unit/institute staff</li>    <li>Investigators from international institutions can apply as co-applicants. However, the research should be carried out for the main part within the UK and be clearly led by a UK principle investigator within a UK institution</li>    </ul>    </div>    </div>",3.b.2 - Total net official development assistance to medical research and basic health sector,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23168,Organization,"Catholic Health Association of India (CHAI): <p>The Catholic Health Association of India celebrates it 73 years of service. The organization has grown in terms of its membership, services and expanded the scope for encompassing and achieving the mission for which it was established in 1943. The organization has been shaped and nurtured by the visionaries who directed it and by the impact of national and international happenings. There have been paradigm shifts to meet the needs and to fulfill the vision and mission of reaching the poor and marginalized.</p>    <p>VISION&nbsp;</p>    <p>The Catholic Health Association of India upholds its commitment to bring &lsquo;health for all&rsquo;.</p>    <p>It views health as a state of complete physical, mental, social and spiritual well-being, and not merely the absence of sickness. Accordingly, CHAI envisions an INDIA wherein people,</p>    <p>are assured of clean air, water and environment;<br />do not suffer from any preventable disease;<br />are able to manage their health needs;<br />are able to control the forces which cause ill health;<br />enjoy dignity and equality and are partners in decisions that affect them, irrespective of caste, creed, religion or economic status, and<br />respect human life and hold and nurture it to grow into its fullness.</p>    <p>MISSION</p>    <p>In order to realize the vision, CHAI endeavours to</p>    <p>Promote community health, understood as a process of enabling the people, especially the poor and the marginalized, to be collectively responsible to attain and maintain their health and demand health as a right, and ensure availability of quality health care at reasonable cost.<br />Prevent and control communicable and non-communicable diseases as they cause a huge public health burden as well as take a heavy toll of human life in the country.<br />Provide relief to disaster victims in the country and bring the affected to normal level of functioning.<br />Ensure relief and rehabilitation to persons with disabilities.<br />Sustain advocacy for the cause of poor and needy.</p>",3.d.1 - International Health Regulations (IHR) capacity and health emergency preparedness,"3.8.1 - Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)",3.8.2 - Proportion of population with large household expenditures on health as a share of total household expenditure or income,3.b.3 - Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,NA,NA,NA,NA,NA,NA,NA,NA
219512,Contract,Quality Improvement Initiatives for Diabetes,"3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274093,Tender,"Provision of Thalassemia Drugs and Disposables; ; <h2><strong>BACKGROUND</strong></h2>    <p>Islamic Relief is an international aid and development charity, which aims to alleviate the suffering of the world's poorest people. It is an independent Non-Governmental Organization (NGO) founded in the UK in 1984.</p>    <p>As well as responding to disasters and emergencies, Islamic Relief promotes sustainable economic and social development by working with local communities - regardless of race, religion or gender.</p>    <p><strong>Our vision:</strong></p>    <p>Inspired by our Islamic faith and guided by our values, we envisage a caring world where communities are empowered, social obligations are fulfilled, and people respond as one to the suffering of others.</p>    <p><strong>Our mission:</strong></p>    <p>Exemplifying our Islamic values, we will mobilize resources, build partnerships, and develop local capacity, as we work to:</p>    <p>Enable communities to mitigate the effect of disasters, prepare for their occurrence and respond by providing relief, protection and recovery.</p>    <p>Promote integrated development and environmental custodianship with a focus on sustainable livelihoods.</p>    <p>Support the marginalized and vulnerable to voice their needs and address root causes of poverty.</p>    <p>We allocate these resources regardless of race, political affiliation, gender or belief, and without expecting anything in return.</p>    <p>At the international level, Islamic Relief Worldwide (IRW) has consultative status with the UN Economic and Social Council, and is a signatory to the International Red Cross and Red Crescent Code of Conduct. IRW is committed to the Millennium Development Goals (MDGs) through raising awareness of the issues that affect poor communities and through its work on the ground. Islamic Relief are one of only 13 charities that have fulfilled the criteria and have become members of the Disasters Emergency Committee (<a href=""http://www.dec.org.uk"">www.dec.org.uk</a>).</p>    <p>IRW endeavours to work closely with local communities, focusing on capacity-building and empowerment to help them achieve development without dependency.</p>    <p>&nbsp;</p>; <h2><strong>INTRODUCTION</strong></h2>    <p>Islamic Relief Worldwide Syria operations in Turkey are based in Istanbul, from where we are providing support and aid to the Syrian people inside Syria.</p>    <p><strong>Requirements</strong></p>    <p>Islamic Relief is sending more life-saving aid supplies to Syria in response to the country&rsquo;s escalating conflict and mounting number of casualties. We are now supplying Thalassemia drugs and disposables to numerous health service providers in Northern Syria. The primary objective of this intervention is to provide various types of medical assistance for the vulnerable patients who are internally displaced and also inhabitants in various health facilities in the northern parts of Syria.</p>    <p>This aid is to be performed as a cross-border operation from neighbouring countries to Syria or if possible through local supplies, enabling effected health facilities to stay operational and to offer free of charge health services as stated in the expected outcomes.</p>    <p>These thalassemia drugs and disposables aid is part of a major Islamic Relief emergency health response that has now provided&nbsp;<strong>millions of pounds worth of assistance to the people of Syria.</strong>&nbsp;Medical supplies and medical devices have been delivered deep inside Syria in recent months, and people in desperate need have now been able to gain steady access to our health services. Health service providers have now received assistance, medical stock, medical devices and equipment, clean water and other services.</p>",3.3.5 - Number of people requiring interventions against neglected tropical diseases,"3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51151,Funding Info,"Egypt Country Programme For Family Planning (2018-2022): <p>The population of Egypt witnessed a dramatic increase during the last decade, with an estimated population of 94.7 million, compared to a total of 72 million people in 2006. In absolute terms, the population has increased by over 20 million in 10 years.    There is also extreme pressure on the limited land and water resources, with 97 per cent of todayÕs population living on 7.8 per cent of the territory. This steady increase of 2.4 per cent per year threatens to hinder development efforts, with major implications on security and quality of life, basic services, education, health, housing and water.</p>        <p>The programme aims to assist the country in achieving aspirational goals of the ÒEgyptÕs Vision 2030Ó and is relevant to the 2030 Agenda. It contributes primarily to the progressive achievement of SDG Goals 3 and 5. The programme target groups are women, adolescents and youth, particularly those most in need, including disabled, rural communities, migrants and people affected by emergencies. It will use a differentiated approach by targeting selected governorates with the poorest sexual and reproductive    health indicators. Egypt has also recently committed to Family Planning 2020.</p>        <p>Outcome 1: Sexual and reproductive health. Strengthened capacities of line ministries and civil society at governorates and national levels for the provision of high-quality, integrated and rights-based and reproductive health and family planning services, including for youth and in humanitarian settings.</p>        <p>Outcome 2: Adolescents and youth. Strengthened capacity of relevant governmental institutions and youth-led civil society for development and implementation of multidimensional youth strategies that facilitate access to reproductive health knowledge, information, skills and services for the most vulnerable and marginalized young people.</p>        <p>Outcome 3: Gender equality and empowerment. Enhanced capacity of the Government and civil society to prevent and    respond to gender-based violence, with particular attention to harmful practices affecting women and girls, including those affected by emergencies. </p>        <p>The Ministry of International Cooperation will act as coordinating authority for the programme. Programme implementation will use national execution modality through government and non-government partners. Programme will benefit from coordination with the Ministerial Task Force for work with UNFPA established by the Prime Minister of Egypt. The Task Force includes the Ministries of Health and Population; Youth; Social Solidarity; Education; Local Development, Culture and Planning. In situations where there is lack of national capacity, UNFPA may directly implement the programme.</p>        <p>UNFPA and the Government will systematically carry out programme quarterly and annual reviews with the active participation of stakeholders. UNFPA, jointly with partners, will conduct field monitoring visits to assess progress of workplan implementation and results achievement. Monitoring visits tracking tool will be used to ensure timely implementation of monitoring recommendations as a mechanism to inform and adjust programme design and implementation. Thematic and country programme evaluations will be conducted as per the country programme evaluation plan. </p>",3.7.1 - Proportion of women of reproductive age (aged 15_49 years) who have their need for family planning satisfied with modern methods,"3.7.2 - Adolescent birth rate (aged 10_14 years; aged 15_19 years) per 1,000 women in that age group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12265,Grant,"Improving Quantification and Forecasting of New Drugs and Regimens Based on Updated Guidance <p><strong>Introduction and Background</strong></p>    <p>UNOPS has hosted Stop TB Partnership Secretariat as of 1 January 2015. The Stop TB Partnership (&ldquo;STBP&rdquo;), under the direction of the Executive Director is leading the way to a world without tuberculosis (TB), a disease that is curable but still kills three people every minute. Founded in 2001, the Partnership&rsquo;s mission is to serve every person who is vulnerable to TB and ensure that high-quality treatment is available to all who need it.</p>    <p>As a key initiative of the Stop TB Partnership, the goal of the Global Drug Facility (GDF) is to facilitate worldwide, equitable access to TB medicines and diagnostics across both public and private sectors. This goal is achieved through management and coordination of market activities for the full portfolio of TB medicines and diagnostics, strategic procurement and innovative logistics solutions, technical assistance and capacity building for TB programmes in better pharmaceutical management practices, and accelerated uptake of new TB medicines, regimens, and diagnostics. GDF, through this Call for Proposal (CFP), invites proposals from qualified organizations interested in receiving grant support to develop and implement tools that will help improve GDF&rsquo;s approach to quantification and forecasting of new drugs and regimens.</p>    <p>In the past five years, two new medicines have received conditional approval by Stringent Regulatory Authorities for the treatment of drug-resistant TB. The approvals were followed by interim guidance from the World Health Organization (WHO) on how to use these new drugs, including the dose, the frequency of administration, the duration of treatment, which patient populations would benefit and recommendations on monitoring for safety. However, the Drug-Resistant TB Scale-Up Treatment Action Team (DR-TB STAT) estimates that between July 2015 and July 2017, less than 5% of patients who could benefit from these new drugs actually received them.</p>",3.b.3 - Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,3.b.2 - Total net official development assistance to medical research and basic health sector,"3.3.2 - Tuberculosis incidence per 100,000 population",NA,NA,NA,NA,NA,NA,NA,NA,NA
14446,Grant,Call for Metrology for Emerging Radiopharmaceuticals Delivering High Liner Energy Transfer Radiation,3.b.2 - Total net official development assistance to medical research and basic health sector,"3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000,Grant,"Funding to Stimulate Clinical and Translational Multicentric Research in Hospitals <p><strong>What is it about?</strong><br />The Fund iris-Research was created to stimulate clinical and translational multicentric research in the hospitals of the iris-network Brussels as well as collaboration between these hospitals. The Fund is managed by the King Baudouin Foundation with the help of a scientific jury and a management committee. Every year, a call for research projects is launched. Applications for fellowships or training grants are also eligible.&nbsp;<br />To get a first idea of the kind of information that you will be asked to provide, you can download the annexes below. Please note that the final application has to be done completely online, including these annexes.</p>    <p>&nbsp;</p>    <div id=""scid5208386"" hidden="""">    <p>The Fund iris-Research was created to stimulate clinical and translational multicentric research in the hospitals of the iris-network Brussels as well as collaboration between these hospitals. The Fund is managed by the King Baudouin Foundation with the help of a scientific jury and a management committee. Every year, a call for research projects is launched. Applications for fellowships or training grants are also eligible.&nbsp;<br />To get a first idea of the kind of information that you will be asked to provide, you can download the annexes below. Please note that the final application has to be done completely online, including these annexes</p>    </div>",3.b.2 - Total net official development assistance to medical research and basic health sector,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280626,Tender,"Procurement of Radiopharmaceuticals for Treatment of Cancer Patients (04 Lots); ; ; <p><strong>Letter of Invitation</strong></p>    <p><strong>ITB 59-2017-UNDP-UKR</strong></p>    <p><strong>Procurement of radiopharmaceuticals for treatment of cancer patients</strong></p>    <p>Dear Bidders,</p>    <p>The Government of Ukraine is in urgent need to secure medicines and essential health commodities at affordable prices and in sufficient quantities. Following recently adopted legislation allowing selected international organizations to provide procurement support services, the Ministry of Health of Ukraine has requested the United Nations Development Programme (UNDP) to support the procurement and distribution of a number of 2017 State Programme medicines and other medical products as an emergency measure.</p>    <p>Therefore, the United Nations Development Programme (UNDP) hereby invites you to submit a Bid in response to this Invitation to Bid (ITB) for the above-referenced subject.</p>    <p>This ITB includes the following documents:<br /> Section 1 &ndash; This Letter of Invitation<br />Section 2 &ndash; Instructions to Bidders (including Data Sheet)<br />Section 3 &ndash; Schedule of Requirements and Technical Specifications<br />Section 4 - Criteria for award and checklist of documents required&rdquo;<br />Section 5 &ndash; Bid Submission Form<br />Section 6 &ndash; Documents Establishing the Eligibility and Qualifications of the Bidder<br />Section 7 &ndash; Technical Bid Form<br />Section 8 &ndash; Price Schedule Form<br />Section 9 &ndash; Form for Performance Security (may be required from winning entity)<br />Section 10 &ndash; Template of Purchase Order and General Terms and Conditions for Goods</p>    <p><strong>Your offer, comprising of the Technical and Financial Proposal in one archived file, should be submitted in accordance with Section 2.</strong></p>    <p>You are kindly requested to submit an acknowledgment letter to UNDP to the following address:</p>    <p>United Nations Development Programme in Ukraine<br />health.procurement.ua@undp.org<br />Attention: Procurement Unit<br />Mandatory subject of email: ITB 59-2017-UNDP-UKR &ldquo;Procurement of radiopharmaceutical for treatment of cancer patients&rdquo;</p>    <p>The letter should be received by UNDP preferably no later than March 07, 2018. The same letter should advise whether your company intends to submit a Bid. If that is not the case, UNDP would appreciate your indicating the reason, for our records.</p>    <p>If you have received this ITB through a direct invitation by UNDP, transferring this invitation to another firm requires notifying UNDP accordingly.</p>    <p>Should you require any clarification, kindly communicate with the contact person identified in the attached Data Sheet as the focal point for queries on this ITB.</p>    <p>UNDP looks forward to receiving your Bid and thanks you in advance for your interest in UNDP procurement opportunities.</p>","3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","3.8.1 - Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232512,Contract,Predicting the Combination of Tuberculosis (TB) Drugs that will be most Efficacious Clinically and Reduce Duration of Treatment,"3.3.2 - Tuberculosis incidence per 100,000 population",3.b.2 - Total net official development assistance to medical research and basic health sector,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
