label,3.1.1 - Maternal mortality ratio,3.1.2 - Proportion of births attended by skilled health personnel,3.2.1 - Under-5 mortality rate,3.2.2 - Neonatal mortality rate,"3.3.1 - Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","3.3.2 - Tuberculosis incidence per 100,000 population","3.3.3 - Malaria incidence per 1,000 population","3.3.4 - Hepatitis B incidence per 100,000 population",3.3.5 - Number of people requiring interventions against neglected tropical diseases,"3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",3.4.2 - Suicide mortality rate,"3.5.1 - Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders","3.5.2 - Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol",3.6.1 - Death rate due to road traffic injuries,3.7.1 - Proportion of women of reproductive age (aged 15_49 years) who have their need for family planning satisfied with modern methods,"3.7.2 - Adolescent birth rate (aged 10_14 years; aged 15_19 years) per 1,000 women in that age group","3.8.1 - Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)",3.8.2 - Proportion of population with large household expenditures on health as a share of total household expenditure or income,3.9.1 - Mortality rate attributed to household and ambient air pollution,"3.9.2 - Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",3.9.3 - Mortality rate attributed to unintentional poisoning,3.a.1 - Age-standardized prevalence of current tobacco use among persons aged 15 years and older,3.b.1 - Proportion of the target population covered by all vaccines included in their national programme,3.b.2 - Total net official development assistance to medical research and basic health sector,3.b.3 - Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,3.c.1 - Health worker density and distribution,3.d.1 - International Health Regulations (IHR) capacity and health emergency preparedness
3.1.1 - Maternal mortality ratio,-38,39,-121,80,30,15,17,1,1,14,4,2,3,0,61,51,52,9,1,7,1,0,6,29,16,9,3
3.1.2 - Proportion of births attended by skilled health personnel,39,96,29,24,4,4,3,0,0,0,0,0,0,0,37,35,33,6,0,5,0,0,5,9,9,34,3
3.2.1 - Under-5 mortality rate,-121,29,-7,79,38,17,14,2,6,22,3,8,4,0,35,28,53,8,2,9,4,3,5,23,15,11,7
3.2.2 - Neonatal mortality rate,80,24,79,-118,16,7,6,4,6,11,1,4,3,1,23,18,21,4,1,2,2,3,7,20,10,6,4
"3.3.1 - Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",30,4,38,16,115,85,60,28,22,12,2,17,12,0,21,19,64,21,1,5,0,7,12,65,42,24,8
"3.3.2 - Tuberculosis incidence per 100,000 population",15,4,17,7,85,-82,57,16,15,15,0,4,2,0,8,5,14,8,0,1,0,1,5,33,15,7,4
"3.3.3 - Malaria incidence per 1,000 population",17,3,14,6,60,57,-99,8,22,6,0,1,1,0,9,6,19,7,0,2,0,0,5,25,18,5,3
"3.3.4 - Hepatitis B incidence per 100,000 population",1,0,2,4,28,16,8,53,13,9,0,4,4,0,2,2,6,7,2,2,0,2,6,5,3,2,2
3.3.5 - Number of people requiring interventions against neglected tropical diseases,1,0,6,6,22,15,22,13,-100,11,0,0,0,0,2,1,24,4,2,16,1,0,19,29,5,9,53
"3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",14,0,22,11,12,15,6,9,11,-29,12,12,13,1,4,2,47,11,4,4,7,26,3,-116,36,19,1
3.4.2 - Suicide mortality rate,4,0,3,1,2,0,0,0,0,12,61,35,10,1,0,2,8,1,2,2,1,8,0,26,0,0,0
