label,count,share_of_rows
3.b.2 - Total net official development assistance to medical research and basic health sector,1040,0.34724540901502504
"3.8.1 - Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)",529,0.17662771285475792
"3.4.1 - Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",483,0.1612687813021703
3.b.3 - Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,394,0.1315525876460768
"3.3.1 - Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations",371,0.12387312186978297
3.2.1 - Under-5 mortality rate,249,0.08313856427378966
3.c.1 - Health worker density and distribution,232,0.07746243739565943
3.1.1 - Maternal mortality ratio,218,0.07278797996661102
"3.9.2 - Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",217,0.07245409015025042
3.d.1 - International Health Regulations (IHR) capacity and health emergency preparedness,217,0.07245409015025042
3.7.1 - Proportion of women of reproductive age (aged 15_49 years) who have their need for family planning satisfied with modern methods,189,0.06310517529215359
3.b.1 - Proportion of the target population covered by all vaccines included in their national programme,185,0.06176961602671119
"3.3.2 - Tuberculosis incidence per 100,000 population",174,0.05809682804674458
"3.7.2 - Adolescent birth rate (aged 10_14 years; aged 15_19 years) per 1,000 women in that age group",165,0.05509181969949917
3.8.2 - Proportion of population with large household expenditures on health as a share of total household expenditure or income,161,0.05375626043405676
"3.3.3 - Malaria incidence per 1,000 population",157,0.05242070116861436
3.3.5 - Number of people requiring interventions against neglected tropical diseases,156,0.05208681135225376
3.2.2 - Neonatal mortality rate,138,0.04607679465776294
"3.5.1 - Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders",123,0.04106844741235392
3.1.2 - Proportion of births attended by skilled health personnel,96,0.032053422370617694
3.a.1 - Age-standardized prevalence of current tobacco use among persons aged 15 years and older,76,0.025375626043405677
"3.5.2 - Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol",68,0.02270450751252087
3.9.3 - Mortality rate attributed to unintentional poisoning,63,0.021035058430717863
3.4.2 - Suicide mortality rate,61,0.02036727879799666
3.9.1 - Mortality rate attributed to household and ambient air pollution,55,0.018363939899833055
"3.3.4 - Hepatitis B incidence per 100,000 population",53,0.017696160267111852
3.6.1 - Death rate due to road traffic injuries,31,0.010350584307178631
